Address of main() function: 00E312F8
Address of global var: 00E3B140
Address of local var in main(): 0038F6B8
Address of static local variable: 00E3B150
Addr of local variables (in recursive level 430): auto_y: 0034A13C,  static_y: 00E3B154, dynamicArray: 00792228, memory usage (1183744), memory increment (   8192)
Addr of local variables (in recursive level 440): auto_y: 00348774,  static_y: 00E3B154, dynamicArray: 007933F8, memory usage (1187840), memory increment (   4096)
Addr of local variables (in recursive level 450): auto_y: 00346DAC,  static_y: 00E3B154, dynamicArray: 00794770, memory usage (1212416), memory increment (  24576)
Addr of local variables (in recursive level 460): auto_y: 003453E4,  static_y: 00E3B154, dynamicArray: 00795940, memory usage (1220608), memory increment (   8192)
Addr of local variables (in recursive level 470): auto_y: 00343A1C,  static_y: 00E3B154, dynamicArray: 00796B10, memory usage (1224704), memory increment (   4096)
Addr of local variables (in recursive level 480): auto_y: 00342054,  static_y: 00E3B154, dynamicArray: 00797CE0, memory usage (1232896), memory increment (   8192)
Addr of local variables (in recursive level 490): auto_y: 0034068C,  static_y: 00E3B154, dynamicArray: 00799058, memory usage (1253376), memory increment (  20480)
Addr of local variables (in recursive level 500): auto_y: 0033ECC4,  static_y: 00E3B154, dynamicArray: 0079A228, memory usage (1261568), memory increment (   8192)
Addr of local variables (in recursive level 510): auto_y: 0033D2FC,  static_y: 00E3B154, dynamicArray: 0079B3F8, memory usage (1269760), memory increment (   8192)
Addr of local variables (in recursive level 520): auto_y: 0033B934,  static_y: 00E3B154, dynamicArray: 0079C770, memory usage (1290240), memory increment (  20480)
Addr of local variables (in recursive level 530): auto_y: 00339F6C,  static_y: 00E3B154, dynamicArray: 0079D940, memory usage (1298432), memory increment (   8192)
Addr of local variables (in recursive level 540): auto_y: 003385A4,  static_y: 00E3B154, dynamicArray: 0079EB10, memory usage (1306624), memory increment (   8192)
Addr of local variables (in recursive level 550): auto_y: 00336BDC,  static_y: 00E3B154, dynamicArray: 0079FCE0, memory usage (1310720), memory increment (   4096)
Addr of local variables (in recursive level 560): auto_y: 00335214,  static_y: 00E3B154, dynamicArray: 007A1058, memory usage (1335296), memory increment (  24576)
Addr of local variables (in recursive level 570): auto_y: 0033384C,  static_y: 00E3B154, dynamicArray: 007A2228, memory usage (1339392), memory increment (   4096)
Addr of local variables (in recursive level 580): auto_y: 00331E84,  static_y: 00E3B154, dynamicArray: 007A33F8, memory usage (1347584), memory increment (   8192)
